Gene start (bp),Gene end (bp),Gene name,Transcript start (bp),Transcript end (bp)
54864204,54872914,KIR3DL2,54864237,54869701
54813971,54828213,KIR2DL1,54813971,54828213
54816442,54830745,KIR3DL1,54816442,54830745
54816442,54830745,KIR3DL1,54816443,54830744
54782354,54796789,KIR2DS3,54782354,54796789
54877320,54892899,KIR2DS4,54877320,54892899
54724498,54736060,KIR3DL3,54724498,54736060
54847612,54858688,KIR2DL4,54847814,54858684
54847612,54858688,KIR2DL4,54847612,54858688
29079384,29079498,,29079384,29079498
54703952,54704235,,54703952,54704235
54754673,54769220,KIR2DL2,54754673,54769220
54700593,54700905,LILRP1,54700593,54700905
54738470,54752993,KIR2DL3,54738470,54752993
54724450,54736092,KIR3DL3,54724450,54736092
54754966,54767314,,54754966,54767314
54803565,54814279,KIR2DL4,54803565,54814279
54816451,54830756,KIR3DL1,54816451,54830756
54816451,54830756,KIR3DL1,54816452,54830755
54833799,54844782,KIR2DL4,54833904,54844779
54833799,54844782,KIR2DL4,54833876,54844782
54833799,54844782,KIR2DL4,54833799,54844782
54833799,54844782,KIR2DL4,54833876,54844782
54789806,54800882,KIR2DL4,54789996,54800878
54789806,54800882,KIR2DL4,54789806,54800882
54819131,54834528,KIR2DS4,54819131,54834528
54832788,54848156,KIR2DS4,54832788,54848156
54832788,54848156,KIR2DS4,54832795,54847075
64259386,64278487,PCMTD2,64259386,64278487
64259386,64278487,PCMTD2,64259394,64277784
64259386,64278487,PCMTD2,64259401,64263893
64259386,64278487,PCMTD2,64259413,64278487
64259386,64278487,PCMTD2,64259489,64268171
64259386,64278487,PCMTD2,64259906,64261139
64259386,64278487,PCMTD2,64260231,64263704
64259386,64278487,PCMTD2,64263476,64268172
64259386,64278487,PCMTD2,64263730,64266595
64259386,64278487,PCMTD2,64269157,64277190
64259386,64278487,PCMTD2,64275127,64278487
64259386,64278487,PCMTD2,64263611,64277699
64259386,64278487,PCMTD2,64259413,64277699
54892528,54896443,NCR1,54892528,54896443
54892528,54896443,NCR1,54892533,54893156
54892528,54896443,NCR1,54892533,54895725
54892528,54896443,NCR1,54892534,54896443
54892528,54896443,NCR1,54892559,54896443
54892528,54896443,NCR1,54892566,54896443
54816496,54820397,KIR3DL1,54816496,54820397
54707916,54713453,LILRP2,54707916,54713453
54707916,54713453,LILRP2,54708602,54713232
54771247,54784650,KIR3DP1,54771247,54784650
54738439,54769215,KIR2DS2,54738439,54752520
54738439,54769215,KIR2DS2,54738491,54769215
54738471,54753005,KIR2DL3,54738471,54753005
54803379,54814527,KIR2DL4,54803634,54814527
54803379,54814527,KIR2DL4,54803649,54814523
54803379,54814527,KIR2DL4,54803649,54814523
54803379,54814527,KIR2DL4,54803471,54814523
54803379,54814527,KIR2DL4,54803379,54805366
54803379,54814527,KIR2DL4,54803544,54814526
54769838,54784324,KIR2DL1,54769838,54784324
54789912,54800893,KIR2DL4,54790029,54800890
54789912,54800893,KIR2DL4,54789912,54800893
54786398,54798220,KIR3DP1,54786398,54790253
54786398,54798220,KIR3DP1,54786398,54798220
54874219,54890443,FCAR,54874219,54889861
54874219,54890443,FCAR,54874251,54889038
54874219,54890443,FCAR,54874251,54889038
54874219,54890443,FCAR,54874251,54889834
54874219,54890443,FCAR,54874251,54890443
54874219,54890443,FCAR,54874256,54889861
54874219,54890443,FCAR,54874256,54889861
54874219,54890443,FCAR,54874261,54889834
54874219,54890443,FCAR,54874261,54889834
54874219,54890443,FCAR,54874261,54889834
54874219,54890443,FCAR,54874261,54889834
54874219,54890443,FCAR,54874261,54889834
54874219,54890443,FCAR,54874261,54889834
54814388,54828892,KIR2DL1,54814388,54828892
54816473,54830785,KIR3DL1,54816473,54830573
54816473,54830785,KIR3DL1,54816482,54830785
54816473,54830785,KIR3DL1,54816495,54830675
64097802,64100643,OPRL1,64097802,64100110
64097802,64100643,OPRL1,64097802,64100643
64097802,64100643,OPRL1,64097802,64100643
54700593,54700905,LILRP1,54700593,54700905
54754680,54769221,KIR2DL2,54754680,54769221
54754923,54767817,KIR2DP1,54754923,54767817
64105820,64107171,NPBWR2,64105820,64107171
54703952,54704235,,54703952,54704235
54803296,54814484,KIR2DL4,54803537,54814484
54803296,54814484,KIR2DL4,54803566,54814480
54803296,54814484,KIR2DL4,54803376,54814480
54803296,54814484,KIR2DL4,54803296,54805317
54803296,54814484,KIR2DL4,54803461,54814483
64143780,64147290,,64143780,64147290
64155437,64245898,MYT1,64155437,64231747
64155437,64245898,MYT1,64168119,64245898
64155437,64245898,MYT1,64168257,64195529
64155437,64245898,MYT1,64168119,64231680
64155437,64245898,MYT1,64168119,64245896
54861074,54875379,KIR3DL1,54861074,54875379
54724453,54736091,KIR3DL3,54724453,54736091
54707916,54713341,LILRP2,54707916,54713341
54707916,54713341,LILRP2,54707916,54713341
153869337,153870645,,153869337,153870645
153768214,153769407,,153768214,153769407
153812404,153819322,,153812404,153819322
54754722,54769049,KIR2DL2,54754722,54769049
153713833,153714877,GEMIN2P1,153713833,153714877
153821956,153845579,GATAD2B,153821956,153845579
54814475,54828769,KIR2DL1,54814475,54828769
54769275,54783790,KIR2DL1,54769275,54783790
54877376,54892982,KIR2DS4,54877376,54892982
54895138,54911932,KIR3DL2,54895152,54911924
54895138,54911932,KIR3DL2,54895138,54911932
40875941,40885227,KRT20,40875941,40885227
40875941,40885227,KRT20,40882463,40884910
54832771,54848624,KIR2DS4,54832771,54848624
54723963,54736023,KIR3DL3,54723963,54736023
54802859,54817155,KIR3DL1,54802859,54817155
54726054,54736537,KIR3DL3,54726054,54736537
41008648,41019451,KRTAP3-1,41008648,41009241
41008648,41019451,KRTAP3-1,41008648,41019451
54874290,54891462,FCAR,54874290,54889932
54874290,54891462,FCAR,54874322,54889109
54874290,54891462,FCAR,54874322,54889109
54874290,54891462,FCAR,54874322,54889905
54874290,54891462,FCAR,54874322,54891462
54874290,54891462,FCAR,54874327,54889932
54874290,54891462,FCAR,54874327,54889932
54874290,54891462,FCAR,54874332,54889905
54874290,54891462,FCAR,54874332,54889905
54874290,54891462,FCAR,54874332,54889905
54874290,54891462,FCAR,54874332,54889905
54874290,54891462,FCAR,54874332,54889905
54874290,54891462,FCAR,54874332,54889905
54786474,54798295,KIR3DP1,54786474,54798295
54786474,54798295,KIR3DP1,54786474,54790329
40999320,41000021,KRTAP3-2,40999320,41000021
54816448,54830767,KIR3DL1,54816448,54830767
41105751,41106907,KRTAP4-9,41105751,41106907
153764082,153768458,,153764082,153768458
153791585,153797388,SLC27A3,153791585,153797388
153791585,153797388,SLC27A3,153792523,153797388
153791585,153797388,SLC27A3,153792544,153797387
153791585,153797388,SLC27A3,153792550,153797387
153791585,153797388,SLC27A3,153792981,153797355
153791585,153797388,SLC27A3,153793827,153797388
153791585,153797388,SLC27A3,153793831,153795316
153791585,153797388,SLC27A3,153795218,153796027
153791585,153797388,SLC27A3,153795428,153796618
153791585,153797388,SLC27A3,153795743,153797114
153791585,153797388,SLC27A3,153795871,153796865
153791585,153797388,SLC27A3,153796282,153797382
153791585,153797388,SLC27A3,153796432,153797355
123826687,123935766,DNAH10,123826687,123935766
123826687,123935766,DNAH10,123835439,123882237
123826687,123935766,DNAH10,123908313,123914613
123826687,123935766,DNAH10,123925187,123935765
123826687,123935766,DNAH10,123926818,123929791
123826687,123935766,DNAH10,123931843,123933491
41065346,41066109,KRTAP2-4,41065346,41066109
54832710,54847746,KIR2DS4,54832710,54847746
40850800,40863282,,40850800,40863282
54724453,54767462,KIR3DL3,54724453,54736091
54724453,54767462,KIR3DL3,54724478,54767462
54786260,54790260,KIR3DP1,54786260,54790260
54707916,54713453,LILRP2,54707916,54713453
54707916,54713453,LILRP2,54708602,54713232
40922696,40937634,KRT23,40922696,40937420
40922696,40937634,KRT23,40922700,40937450
40922696,40937634,KRT23,40922700,40937584
40922696,40937634,KRT23,40925161,40936835
40922696,40937634,KRT23,40928238,40937545
40922696,40937634,KRT23,40929676,40936390
40922696,40937634,KRT23,40936448,40937486
40922696,40937634,KRT23,40936742,40937577
40922696,40937634,KRT23,40936832,40937634
54816499,54830812,KIR3DL1,54816499,54830599
54816499,54830812,KIR3DL1,54816508,54830701
54816499,54830812,KIR3DL1,54816508,54830812
54830630,54842447,KIR3DP1,54830630,54834481
54830630,54842447,KIR3DP1,54830630,54842447
54698377,54701106,LILRP1,54698377,54701106
54802842,54817184,KIR3DL1,54802842,54817184
54802842,54817184,KIR3DL1,54802842,54817184
54832654,54848284,KIR2DS4,54832654,54848284
54782658,54797195,KIR2DS5,54782658,54797195
54945648,54961872,FCAR,54945648,54961290
54945648,54961872,FCAR,54945680,54960467
54945648,54961872,FCAR,54945680,54960467
54945648,54961872,FCAR,54945680,54961263
54945648,54961872,FCAR,54945680,54961872
54945648,54961872,FCAR,54945685,54961290
54945648,54961872,FCAR,54945685,54961290
54945648,54961872,FCAR,54945690,54961263
54945648,54961872,FCAR,54945690,54961263
54945648,54961872,FCAR,54945690,54961263
54945648,54961872,FCAR,54945690,54961263
54945648,54961872,FCAR,54945690,54961263
54945648,54961872,FCAR,54945690,54961263
54863003,54878657,KIR2DS4,54863003,54878657
54799680,54812030,KIR2DP1,54799680,54812030
54769704,54783960,KIR2DL1,54769704,54783960
54724447,54736085,KIR3DL3,54724447,54736085
54738568,54752475,KIR2DS2,54738568,54752475
54814901,54878560,KIR3DL1,54846704,54861021
54814901,54878560,KIR3DL1,54814901,54878560
54771241,54780725,KIR2DL5B,54771241,54780725
54848193,54859216,KIR2DL4,54848269,54859216
54848193,54859216,KIR2DL4,54848193,54859215
54707916,54713453,LILRP2,54707916,54713453
54707916,54713453,LILRP2,54708602,54713232
54877123,54893917,KIR3DL2,54877126,54893909
54877123,54893917,KIR3DL2,54877123,54893917
54802839,54817200,KIR3DS1,54802839,54817200
54707916,54713453,LILRP2,54707916,54713453
54707916,54713453,LILRP2,54708602,54713232
54738476,54752501,KIR2DS2,54738476,54752501
54847678,54861692,KIR2DS1,54847678,54861692
54830927,54845947,KIR2DS3,54830927,54845947
54814919,54820584,,54814919,54820584
54724485,54736504,KIR3DL3,54724485,54736504
54798381,54812886,KIR2DL1,54798381,54812886
54864251,54881045,KIR3DL2,54864254,54881037
54864251,54881045,KIR3DL2,54864251,54881045
54700593,54700905,LILRP1,54700593,54700905
54738519,54752638,KIR2DS2,54738519,54752638
54799595,54812147,,54799595,54812147
54754632,54769000,KIR2DL2,54754632,54769000
54848094,54859121,KIR2DL4,54848179,54859121
54848094,54859121,KIR2DL4,54848179,54859121
54848094,54859121,KIR2DL4,54848199,54859113
54848094,54859121,KIR2DL4,54848199,54859113
54848094,54859121,KIR2DL4,54848094,54859116
54703952,54704235,,54703952,54704235
54754928,54766523,KIR2DP1,54754928,54766523
54836820,54853592,KIR3DL2,54836820,54853369
54836820,54853592,KIR3DL2,54836820,54853592
54786397,54790252,KIR3DP1,54786397,54790252
54849551,54866326,KIR3DL2,54849565,54866318
54849551,54866326,KIR3DL2,54849551,54866326
54816451,54830756,KIR3DL1,54816451,54830756
54816451,54830756,KIR3DL1,54816452,54830755
54832726,54848250,KIR2DS4,54832726,54848250
54769765,54784000,KIR2DL1,54769765,54784000
64211718,64278487,,64211718,64278487
54769756,54784259,KIR2DL1,54769756,54784259
54769756,54784259,KIR2DL1,54769762,54783811
153734523,153735546,,153734523,153735546
153789602,153791310,,153789602,153791310
153802951,153803052,Y_RNA,153802951,153803052
153743483,153743584,Y_RNA,153743483,153743584
123918723,123946006,CCDC92,123918723,123943547
123918723,123946006,CCDC92,123922974,123944421
123918723,123946006,CCDC92,123935674,123944416
123918723,123946006,CCDC92,123936469,123946006
123918723,123946006,CCDC92,123936488,123943545
123918723,123946006,CCDC92,123937740,123945852
123918723,123946006,CCDC92,123937766,123943545
123918723,123946006,CCDC92,123937817,123944416
123918723,123946006,CCDC92,123943528,123944416
153721328,153721625,Metazoa_SRP,153721328,153721625
153700659,153700956,Metazoa_SRP,153700659,153700956
54786406,54790261,KIR3DP1,54786406,54790261
54700593,54700905,LILRP1,54700593,54700905
54830865,54845301,KIR2DS3,54830865,54845301
54831023,54842954,KIR3DP1,54831023,54842954
54831023,54842954,KIR3DP1,54831023,54834987
54707916,54713453,LILRP2,54707916,54713453
54707916,54713453,LILRP2,54708602,54713232
54819505,54829001,KIR2DL5A,54819505,54829001
54830903,54845777,KIR2DS3,54830903,54845777
54803571,54814487,KIR2DL4,54803571,54814487
54754976,54767325,KIR2DP1,54754976,54767325
54861173,54875478,KIR3DL1,54861173,54875478
40977843,40987262,KRT40,40977843,40987128
40977843,40987262,KRT40,40978009,40987262
40977843,40987262,KRT40,40977843,40984435
54771219,54784641,KIR3DP1,54771219,54784641
54771219,54784641,KIR3DP1,54771219,54776675
54754679,54769001,KIR2DL2,54754679,54769001
54786274,54790272,KIR3DP1,54786274,54790272
54700593,54700905,LILRP1,54700593,54700905
54738514,54753065,KIR2DL3,54738514,54753065
54707916,54713453,LILRP2,54707916,54713453
54707916,54713453,LILRP2,54708602,54713232
54700593,54700905,LILRP1,54700593,54700905
54698377,54700905,LILRP1,54698377,54700905
54703952,54704235,,54703952,54704235
54700593,54700905,LILRP1,54700593,54700905
54819459,54828923,KIR2DL5A,54819459,54828923
54754600,54768961,KIR2DL2,54754600,54768961
54703952,54704235,,54703952,54704235
54738530,54753070,KIR2DL3,54738530,54753070
54803541,54814525,KIR2DL4,54803541,54814525
54803541,54814525,KIR2DL4,54803542,54814524
54803541,54814525,KIR2DL4,54803586,54814401
54850300,54867064,KIR3DL2,54850300,54867064
54850300,54867064,KIR3DL2,54850333,54866817
54803535,54814517,KIR2DL4,54803625,54814517
54803535,54814517,KIR2DL4,54803535,54814516
54803535,54814517,KIR2DL4,54803612,54814516
54803535,54814517,KIR2DL4,54803612,54814516
54802804,54817417,KIR3DS1,54802804,54817314
54802804,54817417,KIR3DS1,54802830,54817417
41040684,41041586,KRTAP1-1,41040684,41041586
41054623,41055489,,41054627,41055489
41054623,41055489,,41054623,41055441
54755098,54764695,KIR2DL5B,54755098,54764695
54789815,54800891,KIR2DL4,54790017,54800496
54789815,54800891,KIR2DL4,54789815,54800891
41117663,41118842,KRTAP4-11,41117663,41118842
40921430,40976053,,40921430,40976053
41072178,41072573,KRTAP2-5P,41072178,41072573
41034011,41034982,KRTAP1-3,41034011,41034982
41101921,41102628,KRTAP4-16,41101921,41102628
54738018,54752516,KIR2DL3,54738018,54752516
40861303,40867210,KRT12,40861303,40867210
123927107,123935036,,123927107,123935036
54843950,54858409,KIR2DS3,54843950,54858409
54738465,54752989,KIR2DL3,54738465,54752989
41026153,41027329,KRTAP1-5,41026153,41027329
40958544,40967019,KRT39,40958544,40967019
40958544,40967019,KRT39,40958589,40967013
40958544,40967019,KRT39,40958627,40960824
54707916,54713453,LILRP2,54707916,54713453
54707916,54713453,LILRP2,54708602,54713232
54815911,54830525,KIR3DS1,54815911,54830422
54815911,54830525,KIR3DS1,54815937,54830525
54786292,54798222,KIR3DP1,54786400,54798222
54786292,54798222,KIR3DP1,54786292,54790255
54707916,54713453,LILRP2,54707916,54713453
54707916,54713453,LILRP2,54708602,54713232
54724481,54736671,KIR3DL3,54724481,54736671
54782617,54797414,KIR2DS5,54782617,54797414
54906121,54910036,NCR1,54906121,54910036
54906121,54910036,NCR1,54906126,54906749
54906121,54910036,NCR1,54906126,54909318
54906121,54910036,NCR1,54906127,54910036
54906121,54910036,NCR1,54906152,54910036
54906121,54910036,NCR1,54906159,54910036
54816441,54830746,KIR3DL1,54816441,54830746
54771198,54780682,KIR2DL5B,54771198,54780682
54880532,54897308,KIR3DL2,54880535,54897300
54880532,54897308,KIR3DL2,54880532,54897308
54724478,54736594,KIR3DL3,54724478,54736594
54724478,54736594,KIR3DL3,54724479,54736498
41004608,41004887,KRTAP3-4P,41004608,41004887
41046666,41047441,KRTAP2-1,41046666,41047441
41046666,41047441,KRTAP2-1,41046916,41047392
54738496,54752881,KIR2DL3,54738496,54752881
54724486,54736514,KIR3DL3,54724486,54736514
40993557,40994260,KRTAP3-3,40993557,40994260
54769705,54783961,KIR2DL1,54769705,54783961
54850408,54867186,KIR3DL2,54850411,54867178
54850408,54867186,KIR3DL2,54850408,54867186
41059470,41060344,KRTAP2-3,41059470,41060344
41123559,41124635,KRTAP4-12,41123559,41124635
41029824,41030231,KRTAP1-4,41029824,41030231
41084386,41085542,,41084386,41085542
41097371,41098544,KRTAP4-8,41097917,41098504
41097371,41098544,KRTAP4-8,41097371,41098544
54724448,54736134,KIR3DL3,54724448,54736134
54847887,54862123,KIR2DS1,54847887,54862123
54819506,54828970,KIR2DL5A,54819506,54828970
54703952,54704235,,54703952,54704235
54738560,54752721,KIR2DS2,54738560,54752721
54738560,54752721,KIR2DS2,54738561,54752680
54738560,54752721,KIR2DS2,54738571,54752418
54707916,54713453,LILRP2,54707916,54713453
54707916,54713453,LILRP2,54708602,54713232
54709037,54713341,LILRP2,54709037,54713341
54709037,54713341,LILRP2,54709037,54713341
54724507,54736522,KIR3DL3,54724507,54736522
184510148,184513434,LINC01839,184510148,184513434
184426592,184444693,LINC02054,184426592,184444693
184426592,184444693,LINC02054,184426592,184426836
54738501,54769226,KIR2DS2,54738507,54752644
54738501,54769226,KIR2DS2,54738501,54769226
54802886,54817473,KIR3DS1,54802890,54817370
54802886,54817473,KIR3DS1,54802886,54817473
54738484,54752990,KIR2DL3,54738484,54752990
54803533,54814482,KIR2DL4,54803533,54814482
54850442,54867200,KIR3DL2,54850456,54867192
54850442,54867200,KIR3DL2,54850442,54867200
54864015,54880809,KIR3DL2,54864015,54880586
54864015,54880809,KIR3DL2,54864015,54880809
54738498,54752702,KIR2DS2,54738498,54752702
54835435,54852194,KIR3DL2,54835438,54852186
54835435,54852194,KIR3DL2,54835435,54852194
54802891,54817199,KIR3DL1,54802891,54817199
54802891,54817199,KIR3DL1,54802894,54817198
54786355,54790318,KIR3DP1,54786355,54790318
1880310,1886269,LINC00254,1880310,1886256
1880310,1886269,LINC00254,1880584,1886269
54832765,54848078,KIR2DS4,54832765,54848078
1913487,1920464,HS3ST6,1913487,1920464
54707916,54713453,LILRP2,54707916,54713453
54707916,54713453,LILRP2,54708602,54713232
54755024,54767369,KIR2DP1,54755024,54767369
54738506,54752764,KIR2DL3,54738506,54752764
1874025,1886319,MEIOB,1874025,1874127
1874025,1886319,MEIOB,1874025,1874176
1874025,1886319,MEIOB,1885221,1886319
54703952,54704235,,54703952,54704235
54700593,54700905,LILRP1,54700593,54700905
54816470,54830813,KIR3DL1,54816470,54830773
54816470,54830813,KIR3DL1,54816509,54830813
54724479,54736536,KIR3DL3,54724479,54736536
1891136,1892455,LINC02124,1891136,1892455
54724447,54736132,KIR3DL3,54724447,54736132
54913656,54913762,U6,54913656,54913762
54799171,54811528,,54799171,54811528
54770973,54780252,KIR2DL5B,54770973,54780252
54738243,54752150,KIR2DS2,54738243,54752150
54850406,54867200,KIR3DL2,54850406,54867192
54850406,54867200,KIR3DL2,54850406,54867200
54754397,54768727,KIR2DL2,54754397,54768727
54724203,54736221,KIR3DL3,54724203,54736221
54754998,54767346,KIR2DP1,54754998,54767346
54738499,54753027,KIR2DL3,54738499,54753027
54847867,54861881,KIR2DS1,54847867,54861881
54874257,54890481,FCAR,54874257,54889899
54874257,54890481,FCAR,54874289,54889076
54874257,54890481,FCAR,54874289,54889076
54874257,54890481,FCAR,54874289,54889872
54874257,54890481,FCAR,54874289,54890481
54874257,54890481,FCAR,54874294,54889899
54874257,54890481,FCAR,54874294,54889899
54874257,54890481,FCAR,54874299,54889872
54874257,54890481,FCAR,54874299,54889872
54874257,54890481,FCAR,54874299,54889872
54874257,54890481,FCAR,54874299,54889872
54874257,54890481,FCAR,54874299,54889872
54874257,54890481,FCAR,54874299,54889872
54727609,54736462,KIR3DL3,54727609,54736462
54850443,54867215,KIR3DL2,54850446,54867207
54850443,54867215,KIR3DL2,54850443,54867215
54783578,54795926,,54783578,54795926
54738479,54753050,KIR2DL3,54738479,54753050
54707923,54712937,LILRP2,54707923,54712937
54707923,54712937,LILRP2,54709110,54710414
54766539,54781397,KIR2DS5,54766539,54781397
54905329,54909244,NCR1,54905329,54909244
54754487,54766832,,54754487,54766832
54899032,54899138,U6,54899032,54899138
54785929,54797435,,54785929,54797435
54860710,54875253,KIR2DS1,54860710,54875253
20844829,20853768,,20844829,20853768
54873427,54889651,FCAR,54873427,54889069
54873427,54889651,FCAR,54873459,54888246
54873427,54889651,FCAR,54873459,54888246
54873427,54889651,FCAR,54873459,54889042
54873427,54889651,FCAR,54873459,54889651
54873427,54889651,FCAR,54873464,54889069
54873427,54889651,FCAR,54873464,54889069
54873427,54889651,FCAR,54873469,54889042
54873427,54889651,FCAR,54873469,54889042
54873427,54889651,FCAR,54873469,54889042
54873427,54889651,FCAR,54873469,54889042
54873427,54889651,FCAR,54873469,54889042
54873427,54889651,FCAR,54873469,54889042
54816438,54830737,KIR3DL1,54816438,54830737
20967473,20971556,KRT18P40,20967473,20971556
20978678,20989626,,20978678,20989626
54754958,54767306,KIR2DP1,54754958,54767306
54769825,54784337,KIR2DL1,54769825,54784337
54769825,54784337,KIR2DL1,54769839,54783885
21027036,21043218,ZNF430,21027036,21040600
21027036,21043218,ZNF430,21027050,21040600
21027036,21043218,ZNF430,21027066,21040600
21027036,21043218,ZNF430,21027073,21040133
21027036,21043218,ZNF430,21027133,21043218
21027036,21043218,ZNF430,21029205,21040608
51687527,51688210,,51687527,51688210
54738481,54752986,KIR2DL3,54738481,54752986
54832558,54842109,KIR2DL5A,54832558,54842109
54769746,54783981,KIR2DL1,54769746,54783981
1209102,1269668,SNTG2,1209102,1269668
21778251,21803339,,21778251,21803110
21778251,21803339,,21798359,21803339
21814429,21818511,ZNF43,21814429,21818511
21814429,21818511,ZNF43,21816760,21818511
21814429,21818511,ZNF43,21816805,21818511
21814429,21818511,ZNF43,21816832,21818511
54802913,54813989,KIR2DL4,54803103,54813985
54802913,54813989,KIR2DL4,54802913,54813989
54754924,54767305,KIR2DP1,54754924,54767305
21809967,21810673,,21809967,21810673
54832694,54847510,KIR2DS4,54832694,54847510
21732245,21777028,ZNF100,21732245,21777005
21732245,21777028,ZNF100,21735672,21760262
21732245,21777028,ZNF100,21737410,21760191
21732245,21777028,ZNF100,21752557,21777028
21732245,21777028,ZNF100,21762672,21775255
77780337,77781876,IMPDH1P5,77780337,77781876
3498728,3502360,ADI1,3498728,3502360
77790791,77926526,DLG5,77790791,77829442
77790791,77926526,DLG5,77790791,77869191
77790791,77926526,DLG5,77790791,77926526
77790791,77926526,DLG5,77791901,77820048
77790791,77926526,DLG5,77793544,77821538
77790791,77926526,DLG5,77796061,77889507
77790791,77926526,DLG5,77806105,77812229
77790791,77926526,DLG5,77806796,77807977
77790791,77926526,DLG5,77816033,77820021
77790791,77926526,DLG5,77821782,77824730
144627218,144641637,,144627218,144641323
144627218,144641637,,144630586,144632861
144627218,144641637,,144632513,144641637
54769748,54784069,KIR2DL1,54769748,54784069
3401777,3486461,TRAPPC12,3401777,3433327
3401777,3486461,TRAPPC12,3401777,3480936
3401777,3486461,TRAPPC12,3401777,3486453
3401777,3486461,TRAPPC12,3455979,3480931
3401777,3486461,TRAPPC12,3479495,3480902
3401777,3486461,TRAPPC12,3485893,3486461
3401777,3486461,TRAPPC12,3401795,3480938
54977550,54981465,NCR1,54977550,54981465
54977550,54981465,NCR1,54977555,54978178
54977550,54981465,NCR1,54977555,54980747
54977550,54981465,NCR1,54977556,54981465
54977550,54981465,NCR1,54977563,54981465
54977550,54981465,NCR1,54977581,54981465
54977550,54981465,NCR1,54977581,54981465
54977550,54981465,NCR1,54977588,54981465
144567601,144568743,,144567601,144568738
144567601,144568743,,144567648,144568743
144567601,144568743,,144568301,144568743
144561389,144568027,,144561389,144568027
144592865,144593524,PPIAL4F,144592865,144593524
144660404,144669313,,144660404,144669313
54724451,54736098,KIR3DL3,54724451,54736098
20815244,20822244,,20815244,20822244
21719001,21719670,CCNYL6,21719001,21719670
54882533,54882639,U6,54882533,54882639
20933201,20935130,,20933201,20935130
144560668,144560831,U1,144560668,144560831
21655154,21656539,,21655154,21656539
144523860,144524021,RNVU1-26,144523860,144524021
144551779,144551943,RNVU1-2A,144551779,144551943
21760226,21762917,BRI3BPP1,21760226,21762917
21760226,21762917,BRI3BPP1,21760326,21761398
20929638,20957113,ZNF85,20929638,20955331
20929638,20957113,ZNF85,20929669,20955309
20929638,20957113,ZNF85,20929692,20950393
20929638,20957113,ZNF85,20929701,20952125
20929638,20957113,ZNF85,20929701,20955207
20929638,20957113,ZNF85,20929704,20957113
20929638,20957113,ZNF85,20929720,20955509
20929638,20957113,ZNF85,20929726,20950142
20929638,20957113,ZNF85,20929817,20956718
20929638,20957113,ZNF85,20943098,20957110
21729280,21729514,VN1R84P,21729280,21729514
21687036,21687706,MTDHP4,21687036,21687706
3427276,3427885,,3427276,3427885
3498320,3498795,,3498320,3498795
